NUM_NS,SOMA_BASE_CR,DATA
1217297992,0.0,15/08/2025
1217374258,51330.0,15/08/2025
1217380562,12050.11,15/08/2025
1217428726,0.0,15/08/2025
1217433512,62973.39,15/08/2025
1217495096,2564.0,15/08/2025
1217529465,63439.0,15/08/2025
1217566117,239.25,15/08/2025
1217647952,12138.71,15/08/2025
1217660394,56334.14,15/08/2025
1217720943,11315.65,15/08/2025
1217860982,440.98,15/08/2025
1217868208,0.0,15/08/2025
1217910805,25360.08,15/08/2025
1217942787,20303.62,15/08/2025
1217990643,61282.05,15/08/2025
1218141830,47583.0,15/08/2025
1218151718,177.49,15/08/2025
1218158558,1554.49,15/08/2025
1218167186,32681.0,15/08/2025
1218225429,18442.06,15/08/2025
1218238181,12634.14,15/08/2025
1218375850,10448.49,15/08/2025
1218384438,0.0,15/08/2025
1218478206,1.05,15/08/2025
1218494779,12064.77,15/08/2025
1218611071,846.0,15/08/2025
1218674891,12054.75,15/08/2025
1218693617,0.0,15/08/2025
1218710100,8413.26,15/08/2025
1218740187,3662.33,15/08/2025
1218766876,11546.86,15/08/2025
1218773525,12027.53,15/08/2025
1218979456,67493.0,15/08/2025
1219011485,10606.47,15/08/2025
1219047653,42869.0,15/08/2025
1219070247,11702.0,15/08/2025
1219086145,51954.0,15/08/2025
1219089534,8367.88,15/08/2025
1219123999,7188.62,15/08/2025
1219265431,7975.76,15/08/2025
1219306748,0.0,15/08/2025
1219335478,11728.43,15/08/2025
1219380685,18615.0,15/08/2025
1219381241,97092.0,15/08/2025
1219393973,42543.0,15/08/2025
1219411851,34309.0,15/08/2025
1219411933,6371.04,15/08/2025
1219417033,16476.0,15/08/2025
1219559684,64370.0,15/08/2025
1219616091,11069.07,15/08/2025
1219702442,12188.8,15/08/2025
1219719624,8354.69,15/08/2025
1219775351,11849.45,15/08/2025
1219778668,114.28,15/08/2025
1219781140,20702.0,15/08/2025
1219784085,12274.6,15/08/2025
1219822884,2769.77,15/08/2025
1219892038,10160.55,15/08/2025
1219900104,0.0,15/08/2025
1219908839,12301.2,15/08/2025
1219919704,21755.0,15/08/2025
1219971952,15233.0,15/08/2025
1219972456,54310.54,15/08/2025
1220044711,20182.52,15/08/2025
